model,star_accuracy,generalized_accuracy,tpr,fpr
dt_100_Gi_MD10_MSS10_MSL2_MIG0.0001_MF200_42.json,0.5165441176470589,0.6283088235294118,0.756544502617801,0.5360738255033557
dt_179_En_MD5_MSS2_MSL5_MIG0.0001_MF500_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_305_En_MD15_MSS5_MSL5_MIG0.0001_MF500_42.json,0.5224264705882353,0.64375,0.7879581151832461,0.5411073825503355
dt_277_En_MD15_MSS2_MSL2_MIG0_MF200_42.json,0.5169117647058824,0.6360294117647058,0.768324607329843,0.5335570469798657
dt_149_Gi_MD15_MSS10_MSL1_MIG0.0001_MF500_42.json,0.5099264705882353,0.6352941176470588,0.7506544502617801,0.5125838926174496
dt_298_En_MD15_MSS5_MSL2_MIG0.0001_MF200_42.json,0.5165441176470589,0.6360294117647058,0.768324607329843,0.5335570469798657
dt_150_Gi_MD15_MSS10_MSL1_MIG0.0001_MFNone_42.json,0.5117647058823529,0.6360294117647058,0.7545811518324608,0.5159395973154363
dt_225_En_MD10_MSS2_MSL2_MIG0_MFNone_42.json,0.5430147058823529,0.6297794117647059,0.8344240837696335,0.6325503355704698
dt_254_En_MD10_MSS10_MSL1_MIG0_MF500_42.json,0.5419117647058823,0.6327205882352941,0.8344240837696335,0.6258389261744967
dt_10_Gi_MD5_MSS2_MSL2_MIG0.0001_MF200_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_301_En_MD15_MSS5_MSL5_MIG0_MF200_42.json,0.5227941176470589,0.64375,0.7879581151832461,0.5411073825503355
dt_73_Gi_MD10_MSS5_MSL1_MIG0_MF200_42.json,0.5172794117647059,0.6253676470588235,0.7604712041884817,0.5478187919463087
dt_269_En_MD10_MSS10_MSL5_MIG0.0001_MF500_42.json,0.5441176470588235,0.6345588235294117,0.8409685863874345,0.6300335570469798
dt_276_En_MD15_MSS2_MSL1_MIG0.0001_MFNone_42.json,0.5136029411764705,0.6283088235294118,0.7722513089005235,0.5562080536912751
dt_306_En_MD15_MSS5_MSL5_MIG0.0001_MFNone_42.json,0.5224264705882353,0.64375,0.7879581151832461,0.5411073825503355
dt_85_Gi_MD10_MSS5_MSL5_MIG0_MF200_42.json,0.5176470588235295,0.6246323529411765,0.7742146596858639,0.5671140939597316
dt_200_En_MD5_MSS10_MSL1_MIG0_MF500_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_103_Gi_MD10_MSS10_MSL5_MIG0_MF200_42.json,0.518014705882353,0.6246323529411765,0.7742146596858639,0.5671140939597316
dt_82_Gi_MD10_MSS5_MSL2_MIG0.0001_MF200_42.json,0.518014705882353,0.6268382352941176,0.7617801047120419,0.5461409395973155
dt_91_Gi_MD10_MSS10_MSL1_MIG0_MF200_42.json,0.5165441176470589,0.6279411764705882,0.7558900523560209,0.5360738255033557
dt_246_En_MD10_MSS5_MSL2_MIG0.0001_MFNone_42.json,0.5426470588235294,0.6297794117647059,0.8344240837696335,0.6325503355704698
dt_261_En_MD10_MSS10_MSL2_MIG0_MFNone_42.json,0.5411764705882353,0.6316176470588235,0.8344240837696335,0.6283557046979866
dt_221_En_MD10_MSS2_MSL1_MIG0.0001_MF500_42.json,0.5441176470588235,0.6327205882352941,0.837696335078534,0.6300335570469798
dt_313_En_MD15_MSS10_MSL2_MIG0_MF200_42.json,0.5139705882352941,0.6400735294117647,0.7709424083769634,0.5276845637583892
dt_118_Gi_MD15_MSS2_MSL2_MIG0.0001_MF200_42.json,0.5088235294117647,0.6338235294117647,0.7585078534031413,0.5260067114093959
dt_126_Gi_MD15_MSS2_MSL5_MIG0.0001_MFNone_42.json,0.51875,0.6327205882352941,0.7814136125654451,0.5578859060402684
dt_251_En_MD10_MSS5_MSL5_MIG0.0001_MF500_42.json,0.5441176470588235,0.6345588235294117,0.8409685863874345,0.6300335570469798
dt_267_En_MD10_MSS10_MSL5_MIG0_MFNone_42.json,0.5441176470588235,0.6345588235294117,0.8409685863874345,0.6300335570469798
dt_271_En_MD15_MSS2_MSL1_MIG0_MF200_42.json,0.5147058823529411,0.6290441176470588,0.7742146596858639,0.5570469798657718
dt_66_Gi_MD10_MSS2_MSL2_MIG0.0001_MFNone_42.json,0.5161764705882353,0.6261029411764706,0.7611256544502618,0.5469798657718121
dt_155_Gi_MD15_MSS10_MSL2_MIG0.0001_MF500_42.json,0.5095588235294117,0.6338235294117647,0.7539267015706806,0.5201342281879194
dt_44_Gi_MD5_MSS10_MSL2_MIG0_MF500_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_319_En_MD15_MSS10_MSL5_MIG0_MF200_42.json,0.5227941176470589,0.64375,0.7879581151832461,0.5411073825503355
dt_54_Gi_MD5_MSS10_MSL5_MIG0.0001_MFNone_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_80_Gi_MD10_MSS5_MSL2_MIG0_MF500_42.json,0.5165441176470589,0.6253676470588235,0.7604712041884817,0.5478187919463087
dt_258_En_MD10_MSS10_MSL1_MIG0.0001_MFNone_42.json,0.5419117647058823,0.6327205882352941,0.8344240837696335,0.6258389261744967
dt_206_En_MD5_MSS10_MSL2_MIG0_MF500_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_184_En_MD5_MSS5_MSL1_MIG0.0001_MF200_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_166_En_MD5_MSS2_MSL1_MIG0.0001_MF200_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_94_Gi_MD10_MSS10_MSL1_MIG0.0001_MF200_42.json,0.5169117647058824,0.6279411764705882,0.7558900523560209,0.5360738255033557
dt_176_En_MD5_MSS2_MSL5_MIG0_MF500_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_77_Gi_MD10_MSS5_MSL1_MIG0.0001_MF500_42.json,0.5176470588235295,0.6261029411764706,0.762434554973822,0.5486577181208053
dt_24_Gi_MD5_MSS5_MSL1_MIG0.0001_MFNone_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_195_En_MD5_MSS5_MSL5_MIG0_MFNone_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_308_En_MD15_MSS10_MSL1_MIG0_MF500_42.json,0.5110294117647058,0.6363970588235294,0.7643979057591623,0.5276845637583892
dt_135_Gi_MD15_MSS5_MSL2_MIG0_MFNone_42.json,0.5121323529411764,0.6367647058823529,0.7650523560209425,0.5276845637583892
dt_241_En_MD10_MSS5_MSL2_MIG0_MF200_42.json,0.5426470588235294,0.6297794117647059,0.8344240837696335,0.6325503355704698
dt_52_Gi_MD5_MSS10_MSL5_MIG0.0001_MF200_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_208_En_MD5_MSS10_MSL2_MIG0.0001_MF200_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_197_En_MD5_MSS5_MSL5_MIG0.0001_MF500_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_28_Gi_MD5_MSS5_MSL2_MIG0.0001_MF200_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_31_Gi_MD5_MSS5_MSL5_MIG0_MF200_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_102_Gi_MD10_MSS10_MSL2_MIG0.0001_MFNone_42.json,0.5161764705882353,0.6279411764705882,0.7571989528795812,0.537751677852349
dt_1_Gi_MD5_MSS2_MSL1_MIG0_MF200_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_318_En_MD15_MSS10_MSL2_MIG0.0001_MFNone_42.json,0.5128676470588235,0.6397058823529411,0.7696335078534031,0.5268456375838926
dt_226_En_MD10_MSS2_MSL2_MIG0.0001_MF200_42.json,0.5430147058823529,0.6297794117647059,0.8344240837696335,0.6325503355704698
dt_183_En_MD5_MSS5_MSL1_MIG0_MFNone_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_62_Gi_MD10_MSS2_MSL2_MIG0_MF500_42.json,0.5161764705882353,0.6261029411764706,0.7617801047120419,0.5478187919463087
dt_268_En_MD10_MSS10_MSL5_MIG0.0001_MF200_42.json,0.5441176470588235,0.6345588235294117,0.8409685863874345,0.6300335570469798
dt_97_Gi_MD10_MSS10_MSL2_MIG0_MF200_42.json,0.5169117647058824,0.6279411764705882,0.7571989528795812,0.537751677852349
dt_101_Gi_MD10_MSS10_MSL2_MIG0.0001_MF500_42.json,0.5165441176470589,0.6275735294117647,0.756544502617801,0.537751677852349
dt_4_Gi_MD5_MSS2_MSL1_MIG0.0001_MF200_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_8_Gi_MD5_MSS2_MSL2_MIG0_MF500_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_122_Gi_MD15_MSS2_MSL5_MIG0_MF500_42.json,0.51875,0.6327205882352941,0.7814136125654451,0.5578859060402684
dt_148_Gi_MD15_MSS10_MSL1_MIG0.0001_MF200_42.json,0.5084558823529411,0.6338235294117647,0.7480366492146597,0.5125838926174496
dt_65_Gi_MD10_MSS2_MSL2_MIG0.0001_MF500_42.json,0.5172794117647059,0.6257352941176471,0.7617801047120419,0.5486577181208053
dt_159_Gi_MD15_MSS10_MSL5_MIG0_MFNone_42.json,0.51875,0.6327205882352941,0.7814136125654451,0.5578859060402684
dt_151_Gi_MD15_MSS10_MSL2_MIG0_MF200_42.json,0.5091911764705882,0.6334558823529411,0.7539267015706806,0.5209731543624161
dt_260_En_MD10_MSS10_MSL2_MIG0_MF500_42.json,0.5411764705882353,0.6316176470588235,0.8344240837696335,0.6283557046979866
dt_95_Gi_MD10_MSS10_MSL1_MIG0.0001_MF500_42.json,0.5169117647058824,0.6279411764705882,0.7571989528795812,0.537751677852349
dt_165_En_MD5_MSS2_MSL1_MIG0_MFNone_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_13_Gi_MD5_MSS2_MSL5_MIG0_MF200_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_67_Gi_MD10_MSS2_MSL5_MIG0_MF200_42.json,0.5176470588235295,0.6246323529411765,0.7742146596858639,0.5671140939597316
dt_249_En_MD10_MSS5_MSL5_MIG0_MFNone_42.json,0.5441176470588235,0.6345588235294117,0.8409685863874345,0.6300335570469798
dt_26_Gi_MD5_MSS5_MSL2_MIG0_MF500_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_154_Gi_MD15_MSS10_MSL2_MIG0.0001_MF200_42.json,0.5106617647058823,0.6352941176470588,0.7571989528795812,0.5209731543624161
dt_210_En_MD5_MSS10_MSL2_MIG0.0001_MFNone_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_279_En_MD15_MSS2_MSL2_MIG0_MFNone_42.json,0.5169117647058824,0.6356617647058823,0.768324607329843,0.5343959731543624
dt_295_En_MD15_MSS5_MSL2_MIG0_MF200_42.json,0.5183823529411765,0.6367647058823529,0.7696335078534031,0.5335570469798657
dt_321_En_MD15_MSS10_MSL5_MIG0_MFNone_42.json,0.5224264705882353,0.64375,0.7879581151832461,0.5411073825503355
dt_222_En_MD10_MSS2_MSL1_MIG0.0001_MFNone_42.json,0.5433823529411764,0.6301470588235294,0.8370418848167539,0.6350671140939598
dt_164_En_MD5_MSS2_MSL1_MIG0_MF500_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_34_Gi_MD5_MSS5_MSL5_MIG0.0001_MF200_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_90_Gi_MD10_MSS5_MSL5_MIG0.0001_MFNone_42.json,0.5176470588235295,0.6246323529411765,0.7742146596858639,0.5671140939597316
dt_120_Gi_MD15_MSS2_MSL2_MIG0.0001_MFNone_42.json,0.5102941176470588,0.6367647058823529,0.7617801047120419,0.5234899328859061
dt_123_Gi_MD15_MSS2_MSL5_MIG0_MFNone_42.json,0.51875,0.6327205882352941,0.7814136125654451,0.5578859060402684
dt_153_Gi_MD15_MSS10_MSL2_MIG0_MFNone_42.json,0.5121323529411764,0.6352941176470588,0.7604712041884817,0.5251677852348994
dt_129_Gi_MD15_MSS5_MSL1_MIG0_MFNone_42.json,0.5088235294117647,0.6349264705882353,0.7617801047120419,0.5276845637583892
dt_158_Gi_MD15_MSS10_MSL5_MIG0_MF500_42.json,0.51875,0.6327205882352941,0.7814136125654451,0.5578859060402684
dt_139_Gi_MD15_MSS5_MSL5_MIG0_MF200_42.json,0.51875,0.6327205882352941,0.7814136125654451,0.5578859060402684
dt_114_Gi_MD15_MSS2_MSL1_MIG0.0001_MFNone_42.json,0.5088235294117647,0.6272058823529412,0.762434554973822,0.5461409395973155
dt_282_En_MD15_MSS2_MSL2_MIG0.0001_MFNone_42.json,0.5169117647058824,0.6356617647058823,0.768324607329843,0.5343959731543624
dt_20_Gi_MD5_MSS5_MSL1_MIG0_MF500_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_50_Gi_MD5_MSS10_MSL5_MIG0_MF500_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_201_En_MD5_MSS10_MSL1_MIG0_MFNone_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_207_En_MD5_MSS10_MSL2_MIG0_MFNone_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_316_En_MD15_MSS10_MSL2_MIG0.0001_MF200_42.json,0.5113970588235294,0.638235294117647,0.7702879581151832,0.5310402684563759
dt_189_En_MD5_MSS5_MSL2_MIG0_MFNone_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_17_Gi_MD5_MSS2_MSL5_MIG0.0001_MF500_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_42_Gi_MD5_MSS10_MSL1_MIG0.0001_MFNone_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_60_Gi_MD10_MSS2_MSL1_MIG0.0001_MFNone_42.json,0.5172794117647059,0.6253676470588235,0.7657068062827225,0.5545302013422819
dt_262_En_MD10_MSS10_MSL2_MIG0.0001_MF200_42.json,0.5411764705882353,0.6316176470588235,0.8344240837696335,0.6283557046979866
dt_79_Gi_MD10_MSS5_MSL2_MIG0_MF200_42.json,0.5169117647058824,0.6261029411764706,0.7604712041884817,0.5461409395973155
dt_212_En_MD5_MSS10_MSL5_MIG0_MF500_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_152_Gi_MD15_MSS10_MSL2_MIG0_MF500_42.json,0.5099264705882353,0.6338235294117647,0.7539267015706806,0.5201342281879194
dt_194_En_MD5_MSS5_MSL5_MIG0_MF500_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_174_En_MD5_MSS2_MSL2_MIG0.0001_MFNone_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_227_En_MD10_MSS2_MSL2_MIG0.0001_MF500_42.json,0.5430147058823529,0.6297794117647059,0.8344240837696335,0.6325503355704698
dt_162_Gi_MD15_MSS10_MSL5_MIG0.0001_MFNone_42.json,0.51875,0.6327205882352941,0.7814136125654451,0.5578859060402684
dt_132_Gi_MD15_MSS5_MSL1_MIG0.0001_MFNone_42.json,0.5088235294117647,0.6349264705882353,0.7617801047120419,0.5276845637583892
dt_53_Gi_MD5_MSS10_MSL5_MIG0.0001_MF500_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_175_En_MD5_MSS2_MSL5_MIG0_MF200_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_209_En_MD5_MSS10_MSL2_MIG0.0001_MF500_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_51_Gi_MD5_MSS10_MSL5_MIG0_MFNone_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_324_En_MD15_MSS10_MSL5_MIG0.0001_MFNone_42.json,0.5224264705882353,0.64375,0.7879581151832461,0.5411073825503355
dt_240_En_MD10_MSS5_MSL1_MIG0.0001_MFNone_42.json,0.5433823529411764,0.63125,0.8350785340314136,0.6300335570469798
dt_300_En_MD15_MSS5_MSL2_MIG0.0001_MFNone_42.json,0.5158088235294118,0.6360294117647058,0.768324607329843,0.5335570469798657
dt_64_Gi_MD10_MSS2_MSL2_MIG0.0001_MF200_42.json,0.5165441176470589,0.6261029411764706,0.7598167539267016,0.5453020134228188
dt_237_En_MD10_MSS5_MSL1_MIG0_MFNone_42.json,0.5433823529411764,0.63125,0.8350785340314136,0.6300335570469798
dt_7_Gi_MD5_MSS2_MSL2_MIG0_MF200_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_199_En_MD5_MSS10_MSL1_MIG0_MF200_42.json,0.5617647058823529,0.6172794117647059,0.9096858638743456,0.7575503355704698
dt_30_Gi_MD5_MSS5_MSL2_MIG0.0001_MFNone_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_289_En_MD15_MSS5_MSL1_MIG0_MF200_42.json,0.5147058823529411,0.6349264705882353,0.7657068062827225,0.5327181208053692
dt_127_Gi_MD15_MSS5_MSL1_MIG0_MF200_42.json,0.5088235294117647,0.6338235294117647,0.7578534031413613,0.5251677852348994
dt_264_En_MD10_MSS10_MSL2_MIG0.0001_MFNone_42.json,0.5411764705882353,0.6316176470588235,0.8344240837696335,0.6283557046979866
dt_110_Gi_MD15_MSS2_MSL1_MIG0_MF500_42.json,0.5077205882352941,0.6257352941176471,0.7571989528795812,0.5427852348993288
dt_263_En_MD10_MSS10_MSL2_MIG0.0001_MF500_42.json,0.5411764705882353,0.6316176470588235,0.8344240837696335,0.6283557046979866
dt_38_Gi_MD5_MSS10_MSL1_MIG0_MF500_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
dt_314_En_MD15_MSS10_MSL2_MIG0_MF500_42.json,0.513235294117647,0.6397058823529411,0.7702879581151832,0.5276845637583892
dt_119_Gi_MD15_MSS2_MSL2_MIG0.0001_MF500_42.json,0.5088235294117647,0.6338235294117647,0.7571989528795812,0.5243288590604027
dt_250_En_MD10_MSS5_MSL5_MIG0.0001_MF200_42.json,0.5441176470588235,0.6345588235294117,0.8409685863874345,0.6300335570469798
dt_23_Gi_MD5_MSS5_MSL1_MIG0.0001_MF500_42.json,0.5360294117647059,0.6235294117647059,0.8481675392670157,0.6644295302013423
